Word1,Word2,Rhyme
zippora,fora,1
harkness,harkness,1
hohler,cranfill,0
patteson,violet,0
kinny,horacek,0
lurching,neukam,0
weekends,overs,0
buckler,buchler,1
castronovo,dinovo,1
bedraggled,straggled,1
dumped,stumped,1
yeisley,lorenzana,0
gladu,initials,0
sewell,huberman,0
pausing,lonigro,0
pickford,bickford,1
overkilling,olefin,0
harpercollins,inducing,0
epicenter,moneycenter,1
mobilizer,appetizer,1
conga,salespeople,0
gaillard,gamelin,0
extravaganzas,extravaganzas,1
mellowing,agitprop,0
jowly,hankin,0
disbursing,multilateral,0
distributor,mocarski,0
troubles,niemeier,0
combed,domed,1
karos,camaros,1
bartnick,bartnick,1
reconstruct,bight,0
seamons,shirtsleeve,0
mccarney,karney,1
veras,hellard,0
pilant,sealant,1
shepler,metamorphic,0
unworthy,worthey,1
bonker,reconquer,1
marlins,puga,0
dickson,sechrist,0
nonnuclear,sweatman,0
premium,premium,1
shevardnadze,precinct,0
elena,refuting,0
kofu,simons,0
bartling,bartling,1
machinists,divas,0
brainstormed,boasted,0
markley,darkly,1
quinto,jacinto,1
ghanaians,lions,1
trembling,guilliams,0
pages,enrages,1
dooner,silvestri,0
unquestioning,hupfer,0
aparicio,monkeys,0
counsell,lemasters,0
riggle,sigel,1
sawchuk,judas,0
kismayu,raju,1
grandnephew,closing,0
poopers,durant,0
cafeterias,canham,0
fifi,heaphy,1
forefront,mosquitos,0
thalacker,jeffries,0
safing,safing,1
bayliss,bayless,1
sitze,barbra,0
telepictures,magnetometers,0
vouch,crouch,1
marcoe,uarco,1
huckaby,lapidus,0
receptor,rautenberg,0
damons,calebs,0
lattner,rattner,1
fermi,whitsett,0
lutecia,lutecia,1
muha,bochicchio,0
ephedrine,zemeckis,0
critchfield,lengle,0
koberstein,sausser,0
elektron,klenke,0
subtyping,destroying,0
daring,shiplett,0
polynomial,isolde,0
outraging,puzzles,0
paladin,flushed,0
farve,homogeny,0
corliss,weavings,0
brinkmeyer,medallions,0
ginsburg,beaucage,0
scipio,swallows,0
abductors,abductors,1
sequels,noncallable,0
akbar,akbar,1
asserts,pistil,0
hydroelectric,hydroelectric,1
landmasses,meriden,0
unaltered,kapton,0
performed,uninspired,0
prosperous,unimportant,0
heffler,colors,0
puncture,puncture,1
affirming,pampers,0
willms,wilms,1
rabinovich,presumptions,0
marquerite,helander,0
choreographing,photographing,1
benzes,benzes,1
lisby,radiant,0
mendan,crittenden,1
erler,ladas,0
jowett,popularity,0
wording,wording,1
trident,tesmer,0
hyland,pyland,1
repentance,voorhies,0
ramming,damming,1
conoco,hedstrom,0
psychotherapists,charged,0
baas,jenkins,0
apoplectic,bilateral,0
sawhill,gul,0
interviewers,holterman,0
kowalsky,michalsky,1
denapoli,monopoly,1
carragher,faragher,1
maestri,plenary,0
oliger,oliger,1
highlanders,sewage,0
impatience,impatience,1
olejnik,shriveling,0
manheim,donaho,0
datametrics,sprankle,0
awbrey,aubry,1
plunkers,hauge,0
pozo,dimond,0
lehew,kleinberg,0
nowicki,mazaitis,0
peapod,peapod,1
wildeman,wildman,1
kirschenbaum,kirshenbaum,1
rehydrate,halting,0
removals,puga,0
unwinnable,sunburned,0
eshelman,eshleman,1
mucha,prucha,1
sampled,granules,0
boilers,cataclysmic,0
sutch,radbourn,0
barris,tauke,0
wojtaszek,nonstrategic,0
perin,deguerin,1
liege,deducted,0
hypo,hardcastle,0
bulger,tropopause,0
impassive,harmonious,0
bligh,eye,1
chances,dances,1
kostelecky,wenig,0
misjudgment,delich,0
caused,shipholding,0
witwer,wintershall,0
trivial,convivial,1
lansford,hellier,0
hoefle,raczka,0
coinsurance,recurrence,1
nendick,mendyk,1
kyzar,scissor,1
virgy,chatterjee,1
weipert,weipert,1
bakkers,interdictes,0
minnich,patriarchy,0
waterman,captions,0
garage,prearranged,0
calabro,calabro,1
martens,noncallable,0
jazmin,gutherie,0
redenbaugh,bedenbaugh,1
ettinger,ettinger,1
semiclassical,korff,0
hoenig,borkenhagen,0
belt,delnero,0
alchemically,alchemically,1
zadok,zadoc,1
reichling,beatrice,0
lattanzio,messages,0
tierce,tierce,1
annexing,annexing,1
dishwashing,brainwashing,1
elicit,elicit,1
unsolved,absolved,1
esselte,mutzman,0
grolier,mcannally,0
dovey,buttafuoco,0
walcot,walcot,1
approvingly,badge,0
olliff,mentioned,0
wagons,megill,0
flatley,knisley,0
hicks,conferencing,0
litteral,intentioned,0
crecelius,crecelius,1
different,imagined,0
wernert,bec,0
lucidity,illiquidity,1
flourishing,rissoli,0
triggered,roughest,0
nattily,dispatchers,0
guerin,matthew,0
paleobotany,kingdom,0
eline,nudging,0
jezek,ailment,0
pointy,kelch,0
rattling,eruptive,0
dorcas,warps,0
contrivance,criger,0
hadlock,tadlock,1
overpowered,garrels,0
deschner,teschner,1
drapes,cooperider,0
smoothing,pacifist,0
boudin,rudin,1
uncontrollable,possible,0
eynon,gobbling,0
gomory,subsoil,0
ninsu,amenable,0
dalesio,crocodiles,0
apostles,fossils,1
fabia,larkey,0
manageable,goldfinger,0
plessy,entebbe,0
phrygian,phrygian,1
wilmott,cariker,0
resolved,echos,0
obstetrical,liggins,0
colver,knudtson,0
departure,steveson,0
mixers,mixers,1
nosiness,cynics,0
rippling,heiny,0
repulsive,waltons,0
figured,tushes,0
programmers,gobbling,0
confessional,confessional,1
rugen,rugen,1
connie,samojlik,0
metamorphosis,sandness,0
andes,lenker,0
inventiveness,inventiveness,1
pilatus,pilatus,1
estrus,mactaggart,0
isley,melnik,0
colberg,eachan,0
points,points,1
eurobond,junkbond,1
peaceable,leasable,1
hinerman,hinerman,1
lacksadaiscious,causer,0
hansche,raoul,0
crumbley,rumbley,1
mandible,understandable,1
grackles,crisostomo,0
kietzman,kietzman,1
cipri,jindo,0
kilroy,corduroy,1
davlin,unhindered,0
osterhout,refractory,0
myrtia,myrtia,1
falsone,falsone,1
muhamed,wileman,0
swampy,pompey,1
minnows,olcott,0
immunodeficiency,sergent,0
bridgeman,heiner,0
secessionists,impressionists,1
pushes,retarding,0
jochum,bianco,0
wiretapping,reichenberger,0
rawlings,stallings,1
backhanded,nalbandian,0
grappling,malfunctioned,0
gov,lendl,0
footnotes,tugboats,1
eury,jewry,1
allegory,wickland,0
refunded,sitka,0
straube,doub,1
glimpse,headquarters,0
rhubarb,goldfarb,1
hookers,tiddly,0
gila,timoney,0
hurlbutt,sygma,0
drozda,mazda,1
pocket,docket,1
zappia,zappia,1
surratt,surratt,1
durnin,durnin,1
souped,stooped,1
shameless,aimless,1
raineri,postmarked,0
halted,halted,1
bartak,bartok,1
towering,overpowering,1
interspersed,dodgers,0
flabbergasted,skurdal,0
adherence,barrio,0
cranston,cranston,1
subdivisions,televisions,1
bankrolls,feodor,0
recurrent,birchler,0
dedic,tottering,0
mendonsa,mendonsa,1
kredit,patiently,0
reddig,length,0
cobwebs,disks,0
normative,junket,0
amexco,longed,0
pattie,devoted,0
bateson,hilger,0
barbells,flattery,0
industrie,industry,1
singleterry,singleterry,1
editing,joggers,0
mcgown,ambience,0
vallo,saipan,0
rydman,widman,1
pothier,koegler,0
higham,boyko,0
leibert,scribbled,0
hosner,opportunities,0
weigel,packard,0
berends,behrends,1
enjoyable,wendorff,0
protectionists,protectionists,1
traynham,heiresses,0
aircrafts,loudest,0
melhorn,shellhorn,1
panthea,ensembles,0
kallman,gaglio,0
absorbed,hypermarkets,0
saltsman,saltsman,1
woolever,woolever,1
benchmarks,medders,0
ivan,diven,1
preparing,culbreath,0
battisti,saltier,0
struggle,gienger,0
bolkow,boelkow,1
archdiocese,archdiocese,1
pivots,rivets,1
reshaping,taping,1
bandicoot,execute,1
kasabian,mehrabian,1
chimerical,redundant,0
wandrey,wandrey,1
underpayments,overpayments,1
progestin,betterton,0
boxcars,registrars,1
honesty,dishonesty,1
inflatable,hocus,0
meachum,beecham,1
laba,delgiorno,0
krakow,rakow,1
willison,apocalyptic,0
oldfather,oldfather,1
parrett,behof,0
bilka,zylka,1
nivens,misfortunes,0
pestillo,proximate,0
crackers,distillery,0
strathman,epps,0
shevtl,shevtl,1
eichler,fictional,0
